TimeStamp, FPS, # Faces, frame #, QRDetection Status, Hardcoded Eye Gaze, DetectedFaces Info
21-51-17.9122,60,0,0,False,False,{}
21-51-17.9122,60,0,0,False,False,{}
21-51-17.9927,60,0,0,False,False,{}
21-51-17.9927,60,0,0,False,False,{}
21-51-18.0042,57,0,0,False,False,{}
21-51-18.0042,57,0,0,False,False,{}
21-51-18.0142,97,0,0,False,False,{}
21-51-18.0142,97,0,0,False,False,{}
21-51-18.0312,72,0,0,False,False,{}
21-51-18.0312,72,0,0,False,False,{}
21-51-18.0467,66,0,0,False,False,{}
21-51-18.0467,66,0,0,False,False,{}
21-51-18.0662,63,0,0,False,False,{}
21-51-18.0662,63,0,0,False,False,{}
21-51-18.0947,60,0,0,False,False,{}
21-51-18.0947,60,0,0,False,False,{}
21-51-18.1147,57,0,0,False,False,{}
21-51-18.1147,57,0,0,False,False,{}
21-51-18.1322,50,0,0,False,False,{}
21-51-18.1322,50,0,0,False,False,{}
21-51-18.1522,53,0,0,False,False,{}
21-51-18.1522,53,0,0,False,False,{}
21-51-18.1642,55,0,0,False,False,{}
21-51-18.1642,55,0,0,False,False,{}
21-51-18.1767,57,0,0,False,False,{}
21-51-18.1767,57,0,0,False,False,{}
21-51-18.1877,61,0,0,False,False,{}
21-51-18.1877,61,0,0,False,False,{}
21-51-18.2007,66,0,0,False,False,{}
21-51-18.2007,66,0,0,False,False,{}
21-51-18.2262,63,0,0,False,False,{}
21-51-18.2262,63,0,0,False,False,{}
21-51-18.2377,60,0,0,False,False,{}
21-51-18.2377,60,0,0,False,False,{}
21-51-18.2487,65,0,0,False,False,{}
21-51-18.2487,65,0,0,False,False,{}
21-51-18.2672,63,0,0,False,False,{}
21-51-18.2672,63,0,0,False,False,{}
21-51-18.2812,63,0,0,False,False,{}
21-51-18.2812,63,0,0,False,False,{}
21-51-18.2992,61,0,0,False,False,{}
21-51-18.2992,61,0,0,False,False,{}
21-51-18.3157,61,0,0,False,False,{}
21-51-18.3157,61,0,0,False,False,{}
21-51-18.3322,61,0,0,False,False,{}
21-51-18.3322,61,0,0,False,False,{}
21-51-18.3472,61,0,0,False,False,{}
21-51-18.3472,61,0,0,False,False,{}
21-51-18.3657,60,0,0,False,False,{}
21-51-18.3657,60,0,0,False,False,{}
21-51-18.3832,60,0,0,False,False,{}
21-51-18.3832,60,0,0,False,False,{}
21-51-18.4027,60,0,0,False,False,{}
21-51-18.4027,60,0,0,False,False,{}
21-51-18.4197,60,0,0,False,False,{}
21-51-18.4197,60,0,0,False,False,{}
21-51-18.4337,60,0,0,False,False,{}
21-51-18.4337,60,0,0,False,False,{}
21-51-18.4482,60,0,0,False,False,{}
21-51-18.4482,60,0,0,False,False,{}
21-51-18.4662,60,0,0,False,False,{}
21-51-18.4662,60,0,0,False,False,{}
21-51-18.4947,58,0,0,False,False,{}
21-51-18.4947,58,0,0,False,False,{}
21-51-18.5127,56,0,0,False,False,{}
21-51-18.5127,56,0,0,False,False,{}
21-51-18.5337,54,0,0,False,False,{}
21-51-18.5337,54,0,0,False,False,{}
21-51-18.5532,52,0,0,False,False,{}
21-51-18.5532,52,0,0,False,False,{}
21-51-18.5682,53,0,0,False,False,{}
21-51-18.5682,53,0,0,False,False,{}
21-51-18.5817,56,0,0,False,False,{}
21-51-18.5817,56,0,0,False,False,{}
21-51-18.5902,59,0,0,False,False,{}
21-51-18.5902,59,0,0,False,False,{}
21-51-18.6027,64,0,0,False,False,{}
21-51-18.6027,64,0,0,False,False,{}
21-51-18.6232,62,0,0,False,False,{}
21-51-18.6232,62,0,0,False,False,{}
21-51-18.6472,58,0,0,False,False,{}
21-51-18.6472,58,0,0,False,False,{}
21-51-18.6707,56,0,0,False,False,{}
21-51-18.6707,56,0,0,False,False,{}
21-51-18.6857,55,0,0,False,False,{}
21-51-18.6857,55,0,0,False,False,{}
21-51-18.7012,56,0,0,False,False,{}
21-51-18.7012,56,0,0,False,False,{}
21-51-18.7142,58,0,0,False,False,{}
21-51-18.7142,58,0,0,False,False,{}
21-51-18.7242,62,0,0,False,False,{}
21-51-18.7242,62,0,0,False,False,{}
21-51-18.7462,64,0,0,False,False,{}
21-51-18.7462,64,0,0,False,False,{}
21-51-18.7557,62,0,0,False,False,{}
21-51-18.7557,62,0,0,False,False,{}
21-51-18.7637,67,0,0,False,False,{}
21-51-18.7637,67,0,0,False,False,{}
21-51-18.7817,65,0,0,False,False,{}
21-51-18.7817,65,0,0,False,False,{}
21-51-18.7982,64,0,0,False,False,{}
21-51-18.7982,64,0,0,False,False,{}
21-51-18.8149,63,0,0,False,False,{}
21-51-18.8149,63,0,0,False,False,{}
21-51-18.8336,62,0,0,False,False,{}
21-51-18.8336,62,0,0,False,False,{}
21-51-18.8526,61,0,0,False,False,{}
21-51-18.8526,61,0,0,False,False,{}
21-51-18.8696,61,0,0,False,False,{}
21-51-18.8696,61,0,0,False,False,{}
21-51-18.8886,60,0,0,False,False,{}
21-51-18.8886,60,0,0,False,False,{}
21-51-18.9036,61,0,0,False,False,{}
21-51-18.9036,61,0,0,False,False,{}
21-51-18.9216,60,0,0,False,False,{}
21-51-18.9216,60,0,0,False,False,{}
21-51-18.9356,61,0,0,False,False,{}
21-51-18.9356,61,0,0,False,False,{}
21-51-18.9611,60,0,0,False,False,{}
21-51-18.9611,60,0,0,False,False,{}
21-51-18.9751,56,0,0,False,False,{}
21-51-18.9751,56,0,0,False,False,{}
21-51-18.9931,58,0,0,False,False,{}
21-51-18.9931,58,0,0,False,False,{}
21-51-19.0036,58,0,0,False,False,{}
21-51-19.0036,58,0,0,False,False,{}
21-51-19.0181,62,0,0,False,False,{}
21-51-19.0181,62,0,0,False,False,{}
21-51-19.0401,57,0,0,False,False,{}
21-51-19.0401,57,0,0,False,False,{}
21-51-19.2924,22,0,1,False,False,{}
21-51-19.2924,22,0,1,False,False,{}
21-51-19.3280,26,0,2,False,False,{}
21-51-19.3280,26,0,2,False,False,{}
21-51-19.3699,25,0,3,False,False,{}
21-51-19.3699,25,0,3,False,False,{}
21-51-19.3792,25,0,4,False,False,{}
21-51-19.3792,25,0,4,False,False,{}
21-51-19.4149,26,0,5,False,False,{}
21-51-19.4149,26,0,5,False,False,{}
21-51-19.4549,30,0,6,False,False,{}
21-51-19.4549,30,0,6,False,False,{}
21-51-19.4920,29,0,7,False,False,{}
21-51-19.4920,29,0,7,False,False,{}
21-51-19.5193,29,0,8,False,False,{}
21-51-19.5193,29,0,8,False,False,{}
21-51-19.5511,25,0,9,False,False,{}
21-51-19.5511,25,0,9,False,False,{}
21-51-19.6061,23,0,10,False,False,{}
21-51-19.6061,23,0,10,False,False,{}
21-51-19.6556,31,0,11,False,False,{}
21-51-19.6556,31,0,11,False,False,{}
21-51-19.6836,38,0,12,False,False,{}
21-51-19.6836,38,0,12,False,False,{}
21-51-19.7378,41,0,13,False,False,{}
21-51-19.7378,41,0,13,False,False,{}
21-51-19.7912,41,0,14,False,False,{}
21-51-19.7912,41,0,14,False,False,{}
21-51-19.8064,41,0,15,False,False,{}
21-51-19.8064,41,0,15,False,False,{}
21-51-19.8413,23,0,16,False,False,{}
21-51-19.8413,23,0,16,False,False,{}
21-51-19.8566,23,0,17,False,False,{}
21-51-19.8566,23,0,17,False,False,{}
21-51-19.9013,22,0,18,False,False,{}
21-51-19.9013,22,0,18,False,False,{}
21-51-19.9270,22,0,19,False,False,{}
21-51-19.9270,22,0,19,False,False,{}
21-51-19.9502,24,0,20,False,False,{}
21-51-19.9502,24,0,20,False,False,{}
21-51-19.9663,26,0,21,False,False,{}
21-51-19.9663,26,0,21,False,False,{}
21-51-19.9767,26,0,22,False,False,{}
21-51-19.9767,26,0,22,False,False,{}
21-51-20.0372,29,0,23,False,False,{}
21-51-20.0372,29,0,23,False,False,{}
21-51-20.0890,25,0,24,False,False,{}
21-51-20.0890,25,0,24,False,False,{}
21-51-20.1167,27,0,25,False,False,{}
21-51-20.1167,27,0,25,False,False,{}
21-51-20.1366,28,0,26,False,False,{}
21-51-20.1366,28,0,26,False,False,{}
21-51-20.1639,31,0,27,False,False,{}
21-51-20.1639,31,0,27,False,False,{}
21-51-20.1867,37,0,28,False,False,{}
21-51-20.1867,37,0,28,False,False,{}
21-51-20.1977,37,0,29,False,False,{}
21-51-20.1977,37,0,29,False,False,{}
21-51-20.2616,33,0,30,False,False,{}
21-51-20.2616,33,0,30,False,False,{}
21-51-20.2866,35,0,31,False,False,{}
21-51-20.2866,35,0,31,False,False,{}
21-51-20.2997,39,0,32,False,False,{}
21-51-20.2997,39,0,32,False,False,{}
21-51-20.3285,42,0,33,False,False,{}
21-51-20.3285,42,0,33,False,False,{}
21-51-20.3416,42,0,34,False,False,{}
21-51-20.3416,42,0,34,False,False,{}
21-51-20.3666,37,0,35,False,False,{}
21-51-20.3666,37,0,35,False,False,{}
21-51-20.4218,33,0,36,False,False,{}
21-51-20.4218,33,0,36,False,False,{}
21-51-20.4467,32,0,37,False,False,{}
21-51-20.4467,32,0,37,False,False,{}
21-51-20.4785,32,0,38,False,False,{}
21-51-20.4785,32,0,38,False,False,{}
21-51-20.5240,35,0,39,False,False,{}
21-51-20.5240,35,0,39,False,False,{}
21-51-20.5398,34,0,40,False,False,{}
21-51-20.5398,34,0,40,False,False,{}
21-51-20.5465,34,0,41,False,False,{}
21-51-20.5465,34,0,41,False,False,{}
21-51-20.5764,34,0,42,False,False,{}
21-51-20.5764,34,0,42,False,False,{}
21-51-20.6664,31,0,43,False,False,{}
21-51-20.6664,31,0,43,False,False,{}
21-51-20.6966,31,0,44,False,False,{}
21-51-20.6966,31,0,44,False,False,{}
21-51-20.7107,31,0,45,False,False,{}
21-51-20.7107,31,0,45,False,False,{}
21-51-20.7342,29,0,46,False,False,{}
21-51-20.7342,29,0,46,False,False,{}
21-51-20.7611,30,0,47,False,False,{}
21-51-20.7611,30,0,47,False,False,{}
21-51-20.7966,33,0,48,False,False,{}
21-51-20.7966,33,0,48,False,False,{}
21-51-20.8867,36,0,49,False,False,{}
21-51-20.8867,36,0,49,False,False,{}
21-51-20.9187,30,0,50,False,False,{}
21-51-20.9187,30,0,50,False,False,{}
21-51-20.9264,30,0,51,False,False,{}
21-51-20.9264,30,0,51,False,False,{}
21-51-20.9566,29,0,52,False,False,{}
