TimeStamp, FPS, # Faces, frame #, QRDetection Status, Hardcoded Eye Gaze, DetectedFaces Info
01-35-34.6726,60,0,1,True,False,{}
01-35-34.6726,60,0,1,True,False,{}
01-35-35.4877,60,0,29,True,False,{}
01-35-35.4877,60,0,29,True,False,{}
01-35-35.5235,57,0,30,True,False,{}
01-35-35.5235,57,0,30,True,False,{}
01-35-35.5510,31,0,31,False,False,{}
01-35-35.5510,31,0,31,False,False,{}
01-35-35.5954,29,0,32,False,False,{}
01-35-35.5954,29,0,32,False,False,{}
01-35-35.7119,22,0,36,False,False,{}
01-35-35.7119,22,0,36,False,False,{}
01-35-35.8097,14,0,39,False,False,{}
01-35-35.8097,14,0,39,False,False,{}
01-35-35.8749,13,0,41,False,False,{}
01-35-35.8749,13,0,41,False,False,{}
01-35-35.9252,13,0,42,False,False,{}
01-35-35.9252,13,0,42,False,False,{}
01-35-35.9878,15,0,44,False,False,{}
01-35-35.9878,15,0,44,False,False,{}
01-35-36.0557,15,0,46,False,False,{}
01-35-36.0557,15,0,46,False,False,{}
01-35-36.1222,15,0,48,False,False,{}
01-35-36.1222,15,0,48,False,False,{}
01-35-36.1868,15,0,50,False,False,{}
01-35-36.1868,15,0,50,False,False,{}
01-35-36.2535,15,0,52,False,False,{}
01-35-36.2535,15,0,52,False,False,{}
01-35-36.3251,15,0,54,False,False,{}
01-35-36.3251,15,0,54,False,False,{}
01-35-36.3506,15,0,55,False,False,{}
01-35-36.3506,15,0,55,False,False,{}
01-35-36.3547,18,0,55,False,False,{}
01-35-36.3547,18,0,55,False,False,{}
01-35-36.3814,21,0,56,False,False,{}
01-35-36.3814,21,0,56,False,False,{}
01-35-36.3874,24,0,56,False,False,{}
01-35-36.3874,24,0,56,False,False,{}
01-35-36.4207,28,0,57,False,False,{}
01-35-36.4207,28,0,57,False,False,{}
01-35-36.5226,23,0,60,False,False,{}
01-35-36.5226,23,0,60,False,False,{}
01-35-36.5520,21,0,61,False,False,{}
01-35-36.5520,21,0,61,False,False,{}
01-35-36.5746,23,0,62,False,False,{}
01-35-36.5746,23,0,62,False,False,{}
01-35-36.5786,26,0,62,False,False,{}
01-35-36.5786,26,0,62,False,False,{}
01-35-36.5837,31,0,62,False,False,{}
01-35-36.5837,31,0,62,False,False,{}
01-35-36.6173,35,0,63,False,False,{}
01-35-36.6173,35,0,63,False,False,{}
01-35-36.6222,37,0,63,False,False,{}
01-35-36.6222,37,0,63,False,False,{}
01-35-36.6553,41,0,64,False,False,{}
01-35-36.6553,41,0,64,False,False,{}
01-35-36.6743,41,0,65,False,False,{}
01-35-36.6743,41,0,65,False,False,{}
01-35-36.6784,43,0,65,False,False,{}
01-35-36.6784,43,0,65,False,False,{}
01-35-36.6839,50,0,65,False,False,{}
01-35-36.6839,50,0,65,False,False,{}
01-35-36.7224,51,0,66,False,False,{}
01-35-36.7224,51,0,66,False,False,{}
01-35-36.7422,49,0,67,False,False,{}
01-35-36.7422,49,0,67,False,False,{}
01-35-36.7475,49,0,67,False,False,{}
01-35-36.7475,49,0,67,False,False,{}
01-35-36.7525,57,0,67,False,False,{}
01-35-36.7525,57,0,67,False,False,{}
01-35-36.8086,58,0,69,False,False,{}
01-35-36.8086,58,0,69,False,False,{}
01-35-36.8185,42,0,69,False,False,{}
01-35-36.8185,42,0,69,False,False,{}
01-35-36.8556,44,0,70,False,False,{}
01-35-36.8556,44,0,70,False,False,{}
01-35-36.8755,43,0,71,False,False,{}
01-35-36.8755,43,0,71,False,False,{}
01-35-36.8794,45,0,71,False,False,{}
01-35-36.8794,45,0,71,False,False,{}
01-35-36.8837,53,0,71,False,False,{}
01-35-36.8837,53,0,71,False,False,{}
