TimeStamp,FPS,GT # Faces,# Faces,frame #,QRDetection Status,Hardcoded Eye Gaze,DetectedFaces Info
19-51-34.8955,71,0,0,0,TRUE,FALSE,{}
19-51-35.1964,71,0,0,1,TRUE,FALSE,{}
19-51-35.2871,66,0,0,2,TRUE,FALSE,{}
19-51-35.3234,14,0,0,3,TRUE,FALSE,{}
19-51-35.3926,19,0,0,4,TRUE,FALSE,{}
19-51-35.4154,17,0,0,5,TRUE,FALSE,{}
19-51-35.4335,21,0,0,6,TRUE,FALSE,{}
19-51-35.4669,26,0,0,7,TRUE,FALSE,{}
19-51-35.5132,26,0,0,8,TRUE,FALSE,{}
19-51-35.5354,25,0,0,9,TRUE,FALSE,{}
19-51-35.5524,28,0,0,10,TRUE,FALSE,{}
19-51-35.5695,32,0,0,11,TRUE,FALSE,{}
19-51-35.6116,35,0,0,12,TRUE,FALSE,{}
19-51-35.6349,32,0,0,13,TRUE,FALSE,{}
19-51-35.6574,34,0,0,14,TRUE,FALSE,{}
19-51-35.6832,36,0,0,15,TRUE,FALSE,{}
19-51-35.7251,36,0,0,16,TRUE,FALSE,{}
19-51-35.7481,33,0,0,17,TRUE,FALSE,{}
19-51-35.7667,34,0,0,18,TRUE,FALSE,{}
19-51-35.7928,36,0,0,19,TRUE,FALSE,{}
19-51-35.8316,37,0,0,20,TRUE,FALSE,{}
19-51-35.9043,34,0,0,21,TRUE,FALSE,{}
19-51-35.9219,26,0,0,22,TRUE,FALSE,{}
19-51-35.9391,29,0,0,23,TRUE,FALSE,{}
19-51-35.9820,32,0,0,24,TRUE,FALSE,{}
19-51-36.0057,30,0,0,25,TRUE,FALSE,{}
19-51-36.0469,32,0,0,26,TRUE,FALSE,{}
19-51-36.0831,29,0,0,27,TRUE,FALSE,{}
19-51-36.1306,29,0,0,28,TRUE,FALSE,{}
19-51-36.1605,27,0,0,29,TRUE,FALSE,{}
19-51-36.1966,27,0,0,30,TRUE,FALSE,{}
19-51-36.2226,28,0,0,31,TRUE,FALSE,{}
19-51-36.2703,29,0,0,32,TRUE,FALSE,{}
19-51-36.2871,27,0,0,33,TRUE,FALSE,{}
19-51-36.3139,30,0,0,34,TRUE,FALSE,{}
19-51-36.3398,32,0,0,35,TRUE,FALSE,{}
19-51-36.3777,33,0,0,36,TRUE,FALSE,{}
