TimeStamp, FPS, # Faces, frame #, QRDetection Status, Hardcoded Eye Gaze, DetectedFaces Info
19-51-34.8955,71,0,0,True,False,{}
19-51-35.1964,71,0,1,True,False,{}
19-51-35.2871,66,0,2,True,False,{}
19-51-35.3234,14,0,3,True,False,{}
19-51-35.3926,19,0,4,True,False,{}
19-51-35.4154,17,0,5,True,False,{}
19-51-35.4335,21,0,6,True,False,{}
19-51-35.4669,26,0,7,True,False,{}
19-51-35.5132,26,0,8,True,False,{}
19-51-35.5354,25,0,9,True,False,{}
19-51-35.5524,28,0,10,True,False,{}
19-51-35.5695,32,0,11,True,False,{}
19-51-35.6116,35,0,12,True,False,{}
19-51-35.6349,32,0,13,True,False,{}
19-51-35.6574,34,0,14,True,False,{}
19-51-35.6832,36,0,15,True,False,{}
19-51-35.7251,36,0,16,True,False,{}
19-51-35.7481,33,0,17,True,False,{}
19-51-35.7667,34,0,18,True,False,{}
19-51-35.7928,36,0,19,True,False,{}
19-51-35.8316,37,0,20,True,False,{}
19-51-35.9043,34,0,21,True,False,{}
19-51-35.9219,26,0,22,True,False,{}
19-51-35.9391,29,0,23,True,False,{}
19-51-35.9820,32,0,24,True,False,{}
19-51-36.0057,30,0,25,True,False,{}
19-51-36.0469,32,0,26,True,False,{}
19-51-36.0831,29,0,27,True,False,{}
19-51-36.1306,29,0,28,True,False,{}
19-51-36.1605,27,0,29,True,False,{}
19-51-36.1966,27,0,30,True,False,{}
19-51-36.2226,28,0,31,True,False,{}
19-51-36.2703,29,0,32,True,False,{}
19-51-36.2871,27,0,33,True,False,{}
19-51-36.3139,30,0,34,True,False,{}
19-51-36.3398,32,0,35,True,False,{}
19-51-36.3777,33,0,36,True,False,{}
19-51-36.4026,31,0,37,True,False,{}
19-51-36.4332,32,0,38,True,False,{}
19-51-36.4617,33,0,39,True,False,{}
19-51-36.5109,33,0,40,True,False,{}
19-51-36.5657,29,0,41,True,False,{}
19-51-36.5955,26,0,42,True,False,{}
19-51-36.6318,27,0,43,True,False,{}
19-51-36.6877,27,0,44,True,False,{}
19-51-36.7058,24,0,45,True,False,{}
19-51-36.7300,27,0,46,True,False,{}
19-51-36.7614,29,0,47,True,False,{}
19-51-36.8104,30,0,48,True,False,{}
19-51-36.8268,27,0,49,True,False,{}
19-51-36.8590,30,0,50,True,False,{}
19-51-36.8868,30,0,51,True,False,{}
19-51-36.9237,31,0,52,True,False,{}
19-51-36.9460,30,0,53,True,False,{}
19-51-36.9709,32,0,54,True,False,{}
19-51-36.9868,34,0,55,True,False,{}
19-51-37.0345,35,0,56,True,False,{}
19-51-37.0575,32,0,57,True,False,{}
19-51-37.0810,34,0,58,True,False,{}
19-51-37.1069,35,0,59,True,False,{}
19-51-37.1615,36,0,60,True,False,{}
19-51-37.2025,30,0,61,True,False,{}
19-51-37.2360,28,0,62,True,False,{}
19-51-37.2711,28,0,63,True,False,{}
19-51-37.3234,29,0,64,True,False,{}
19-51-37.3398,26,0,65,True,False,{}
19-51-37.3673,29,0,66,True,False,{}
19-51-37.3878,31,0,67,True,False,{}
19-51-37.4315,33,0,68,True,False,{}
19-51-37.4507,30,0,69,True,False,{}
19-51-37.4732,33,0,70,True,False,{}
19-51-37.4876,35,0,71,True,False,{}
19-51-37.5288,38,0,72,True,False,{}
19-51-37.5473,34,0,73,True,False,{}
19-51-37.5633,37,0,74,True,False,{}
19-51-37.5821,40,0,75,True,False,{}
19-51-37.6180,42,0,76,True,False,{}
19-51-37.6391,38,0,77,True,False,{}
19-51-37.6631,39,0,78,True,False,{}
19-51-37.6791,40,0,79,True,False,{}
19-51-37.7174,43,0,80,True,False,{}
19-51-37.7649,37,0,81,True,False,{}
19-51-37.7845,33,0,82,True,False,{}
19-51-37.8058,35,0,83,True,False,{}
19-51-37.8512,37,0,84,True,False,{}
19-51-37.8684,32,0,85,True,False,{}
19-51-37.8998,35,0,86,True,False,{}
19-51-37.9263,34,0,87,True,False,{}
19-51-37.9605,35,0,88,True,False,{}
19-51-37.9784,34,0,89,True,False,{}
19-51-38.0041,37,0,90,True,False,{}
19-51-38.0199,37,0,91,True,False,{}
19-51-38.0537,40,0,92,True,False,{}
19-51-38.0729,37,0,93,True,False,{}
19-51-38.0946,39,0,94,True,False,{}
19-51-38.1088,41,0,95,True,False,{}
19-51-38.1457,44,0,96,True,False,{}
19-51-38.1668,39,0,97,True,False,{}
19-51-38.1872,39,0,98,True,False,{}
19-51-38.2026,43,0,99,True,False,{}
19-51-38.2432,45,0,100,True,False,{}
19-51-38.2856,38,0,101,True,False,{}
19-51-38.3064,34,0,102,True,False,{}
19-51-38.3285,37,0,103,True,False,{}
19-51-38.3589,37,0,104,True,False,{}
19-51-38.3770,37,0,105,True,False,{}
19-51-38.3952,39,0,106,True,False,{}
19-51-38.4159,41,0,107,True,False,{}
19-51-38.4491,43,0,108,True,False,{}
19-51-38.4700,39,0,109,True,False,{}
19-51-38.4850,41,0,110,True,False,{}
19-51-38.5055,44,0,111,True,False,{}
19-51-38.5414,45,0,112,True,False,{}
19-51-38.5589,40,0,113,True,False,{}
19-51-38.5772,42,0,114,True,False,{}
19-51-38.5972,44,0,115,True,False,{}
19-51-38.6297,45,0,116,True,False,{}
19-51-38.6502,41,0,117,True,False,{}
19-51-38.6691,42,0,118,True,False,{}
19-51-38.6843,44,0,119,True,False,{}
19-51-38.7215,47,0,120,True,False,{}
19-51-38.7701,40,0,121,True,False,{}
19-51-38.7854,34,0,122,True,False,{}
19-51-38.8165,37,0,123,True,False,{}
19-51-38.8636,36,0,124,True,False,{}
19-51-38.8842,32,0,125,True,False,{}
19-51-38.9097,34,0,126,True,False,{}
19-51-38.9303,35,0,127,True,False,{}
19-51-38.9683,37,0,128,True,False,{}
19-51-38.9868,34,0,129,True,False,{}
19-51-39.0101,36,0,130,True,False,{}
19-51-39.0248,38,0,131,True,False,{}
19-51-39.0617,41,0,132,True,False,{}
19-51-39.0839,36,0,133,True,False,{}
19-51-39.1054,39,0,134,True,False,{}
19-51-39.1191,41,0,135,True,False,{}
19-51-39.1559,44,0,136,True,False,{}
19-51-39.1761,39,0,137,True,False,{}
19-51-39.1917,41,0,138,True,False,{}
19-51-39.2068,44,0,139,True,False,{}
19-51-39.2477,47,0,140,True,False,{}
19-51-39.2888,39,0,141,True,False,{}
19-51-39.3098,35,0,142,True,False,{}
19-51-39.3255,37,0,143,True,False,{}
19-51-39.3662,40,0,144,True,False,{}
19-51-39.3873,35,0,145,True,False,{}
19-51-39.4105,37,0,146,True,False,{}
19-51-39.4316,38,0,147,True,False,{}
19-51-39.4694,39,0,148,True,False,{}
19-51-39.4881,36,0,149,True,False,{}
19-51-39.5094,39,0,150,True,False,{}
19-51-39.5253,40,0,151,True,False,{}
19-51-39.5571,43,0,152,True,False,{}
19-51-39.5766,40,0,153,True,False,{}
19-51-39.5980,42,0,154,True,False,{}
19-51-39.6135,43,0,155,True,False,{}
19-51-39.6487,46,0,156,True,False,{}
19-51-39.6679,41,0,157,True,False,{}
19-51-39.6829,42,0,158,True,False,{}
19-51-39.6993,46,0,159,True,False,{}
19-51-39.7458,48,0,160,True,False,{}
19-51-39.7864,38,0,161,True,False,{}
19-51-39.8063,34,0,162,True,False,{}
19-51-39.8260,37,0,163,True,False,{}
19-51-39.8652,39,0,164,True,False,{}
19-51-39.8862,35,0,165,True,False,{}
19-51-39.9097,36,0,166,True,False,{}
19-51-39.9299,38,0,167,True,False,{}
19-51-39.9622,40,0,168,True,False,{}
19-51-39.9827,37,0,169,True,False,{}
19-51-40.0047,39,0,170,True,False,{}
19-51-40.0197,40,0,171,True,False,{}
19-51-40.0518,44,0,172,True,False,{}
19-51-40.0709,40,0,173,True,False,{}
19-51-40.0854,42,0,174,True,False,{}
19-51-40.1041,45,0,175,True,False,{}
19-51-40.1397,47,0,176,True,False,{}
19-51-40.1575,41,0,177,True,False,{}
19-51-40.1790,43,0,178,True,False,{}
19-51-40.1931,44,0,179,True,False,{}
19-51-40.2320,47,0,180,True,False,{}
19-51-40.2729,40,0,181,True,False,{}
19-51-40.2948,35,0,182,True,False,{}
19-51-40.3111,37,0,183,True,False,{}
19-51-40.3425,40,0,184,True,False,{}
19-51-40.3620,38,0,185,True,False,{}
19-51-40.3852,40,0,186,True,False,{}
19-51-40.4003,41,0,187,True,False,{}
19-51-40.4337,44,0,188,True,False,{}
19-51-40.4524,40,0,189,True,False,{}
19-51-40.4723,42,0,190,True,False,{}
19-51-40.4859,44,0,191,True,False,{}
19-51-40.5189,47,0,192,True,False,{}
19-51-40.5401,42,0,193,True,False,{}
19-51-40.5590,43,0,194,True,False,{}
19-51-40.5737,45,0,195,True,False,{}
19-51-40.6159,48,0,196,True,False,{}
19-51-40.6315,40,0,197,True,False,{}
19-51-40.6464,43,0,198,True,False,{}
19-51-40.6607,47,0,199,True,False,{}
19-51-40.7022,49,0,200,True,False,{}
19-51-40.7448,40,0,201,True,False,{}
19-51-40.7645,35,0,202,True,False,{}
19-51-40.7838,38,0,203,True,False,{}
19-51-40.8255,40,0,204,True,False,{}
19-51-40.8592,33,1,205,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
19-51-40.8862,34,1,206,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
19-51-40.9111,34,1,207,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
19-51-40.9501,35,1,208,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
19-51-40.9734,33,1,209,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
19-51-40.9944,35,1,210,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
19-51-41.0157,36,1,211,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
19-51-41.0502,38,1,212,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
19-51-41.0721,35,1,213,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
19-51-41.0948,37,1,214,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
19-51-41.1131,38,1,215,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
19-51-41.1493,41,1,216,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
19-51-41.1672,37,1,217,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
19-51-41.1885,39,1,218,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
19-51-41.2059,41,1,219,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
19-51-41.2468,43,1,220,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
19-51-41.2888,37,1,221,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
19-51-41.3091,33,1,222,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
19-51-41.3273,36,1,223,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
19-51-41.3632,38,1,224,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
19-51-41.3827,35,1,225,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
19-51-41.3979,38,1,226,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
19-51-41.4150,41,1,227,True,False,{"FaceCube-1": {"3D Position": "(-0.3540535 | 0.7572927 | 0.4485271)" |"isSubject": "False" |"2D Position": "(148.635406494141 | 919.808044433594)" } |}
