TimeStamp, FPS, # Faces, frame #, QRDetection Status, Hardcoded Eye Gaze, DetectedFaces Info
16-58-37.6795,72,0,0,True,False,{}
16-58-38.0474,72,0,1,True,False,{}
16-58-38.1362,66,0,2,True,False,{}
16-58-38.1719,13,0,3,True,False,{}
16-58-38.2059,20,0,4,True,False,{}
16-58-38.2377,22,0,5,True,False,{}
16-58-38.2816,25,0,6,True,False,{}
16-58-38.3227,23,0,7,True,False,{}
16-58-38.4075,24,0,8,True,False,{}
16-58-38.4357,19,0,9,True,False,{}
16-58-38.4632,21,0,10,True,False,{}
16-58-38.4965,24,0,11,True,False,{}
16-58-38.5182,24,0,12,True,False,{}
16-58-38.5520,28,0,13,True,False,{}
16-58-38.5801,27,0,14,True,False,{}
16-58-38.6110,29,0,15,True,False,{}
16-58-38.6524,29,0,16,True,False,{}
16-58-38.6838,28,0,17,True,False,{}
16-58-38.7132,29,0,18,True,False,{}
16-58-38.7328,30,0,19,True,False,{}
16-58-38.7613,32,0,20,True,False,{}
16-58-38.8369,33,0,21,True,False,{}
16-58-38.8557,25,0,22,True,False,{}
16-58-38.8810,28,0,23,True,False,{}
16-58-38.9368,30,0,24,True,False,{}
16-58-38.9621,26,0,25,True,False,{}
16-58-38.9916,28,0,26,True,False,{}
16-58-39.0263,29,0,27,True,False,{}
16-58-39.0494,29,0,28,True,False,{}
16-58-39.0728,31,0,29,True,False,{}
16-58-39.0908,33,0,30,True,False,{}
16-58-39.1145,35,0,31,True,False,{}
16-58-39.1532,37,0,32,True,False,{}
16-58-39.1764,34,0,33,True,False,{}
16-58-39.1991,35,0,34,True,False,{}
16-58-39.2172,37,0,35,True,False,{}
16-58-39.2443,39,0,36,True,False,{}
16-58-39.2646,38,0,37,True,False,{}
16-58-39.2900,40,0,38,True,False,{}
16-58-39.3077,40,0,39,True,False,{}
16-58-39.3554,42,0,40,True,False,{}
16-58-39.4071,35,0,41,True,False,{}
16-58-39.4252,30,0,42,True,False,{}
16-58-39.4498,33,0,43,True,False,{}
16-58-39.4784,35,0,44,True,False,{}
16-58-39.5007,34,0,45,True,False,{}
16-58-39.5233,36,0,46,True,False,{}
16-58-39.5426,37,0,47,True,False,{}
16-58-39.5947,39,0,48,True,False,{}
16-58-39.6172,32,0,49,True,False,{}
16-58-39.6476,34,0,50,True,False,{}
16-58-39.6802,34,0,51,True,False,{}
16-58-39.7056,33,0,52,True,False,{}
16-58-39.7233,34,0,53,True,False,{}
16-58-39.7482,37,0,54,True,False,{}
16-58-39.7643,38,0,55,True,False,{}
16-58-39.8074,41,0,56,True,False,{}
16-58-39.8334,35,0,57,True,False,{}
16-58-39.8586,36,0,58,True,False,{}
16-58-39.8825,36,0,59,True,False,{}
16-58-39.9014,37,0,60,True,False,{}
16-58-39.9474,39,0,61,True,False,{}
16-58-39.9670,34,0,62,True,False,{}
16-58-39.9952,36,0,63,True,False,{}
16-58-40.0487,35,0,64,True,False,{}
16-58-40.0712,30,0,65,True,False,{}
16-58-40.0896,32,0,66,True,False,{}
16-58-40.1202,35,0,67,True,False,{}
16-58-40.1464,34,0,68,True,False,{}
16-58-40.1677,35,0,69,True,False,{}
16-58-40.1875,37,0,70,True,False,{}
16-58-40.2141,39,0,71,True,False,{}
16-58-40.2533,39,0,72,True,False,{}
16-58-40.2779,35,0,73,True,False,{}
16-58-40.2979,35,0,74,True,False,{}
16-58-40.3150,38,0,75,True,False,{}
16-58-40.3367,41,0,76,True,False,{}
16-58-40.3608,42,0,77,True,False,{}
16-58-40.3785,41,0,78,True,False,{}
16-58-40.3963,44,0,79,True,False,{}
16-58-40.4393,45,0,80,True,False,{}
16-58-40.4881,38,0,81,True,False,{}
16-58-40.5095,32,0,82,True,False,{}
16-58-40.5339,34,0,83,True,False,{}
16-58-40.5612,36,0,84,True,False,{}
16-58-40.5844,35,0,85,True,False,{}
16-58-40.6036,37,0,86,True,False,{}
16-58-40.6264,39,0,87,True,False,{}
16-58-40.6633,40,0,88,True,False,{}
16-58-40.6843,36,0,89,True,False,{}
16-58-40.7100,38,0,90,True,False,{}
16-58-40.7282,39,0,91,True,False,{}
16-58-40.7521,40,0,92,True,False,{}
16-58-40.7704,41,0,93,True,False,{}
16-58-40.7934,43,0,94,True,False,{}
16-58-40.8092,43,0,95,True,False,{}
16-58-40.8548,45,0,96,True,False,{}
16-58-40.8726,37,0,97,True,False,{}
16-58-40.8959,39,0,98,True,False,{}
16-58-40.9196,41,0,99,True,False,{}
16-58-40.9397,41,0,100,True,False,{}
16-58-40.9843,42,0,101,True,False,{}
16-58-41.0077,36,0,102,True,False,{}
16-58-41.0371,37,0,103,True,False,{}
16-58-41.0742,36,0,104,True,False,{}
16-58-41.0986,34,0,105,True,False,{}
16-58-41.1224,35,0,106,True,False,{}
16-58-41.1469,36,0,107,True,False,{}
16-58-41.1685,37,0,108,True,False,{}
16-58-41.1866,38,0,109,True,False,{}
16-58-41.2105,41,0,110,True,False,{}
16-58-41.2257,41,0,111,True,False,{}
16-58-41.2695,44,0,112,True,False,{}
16-58-41.2857,37,0,113,True,False,{}
16-58-41.3018,40,0,114,True,False,{}
16-58-41.3253,43,0,115,True,False,{}
16-58-41.3431,43,0,116,True,False,{}
16-58-41.3662,45,0,117,True,False,{}
16-58-41.3841,44,0,118,True,False,{}
16-58-41.4019,47,0,119,True,False,{}
16-58-41.4440,48,0,120,True,False,{}
16-58-41.4913,40,0,121,True,False,{}
16-58-41.5093,34,0,122,True,False,{}
16-58-41.5374,36,0,123,True,False,{}
16-58-41.5619,35,0,124,True,False,{}
16-58-41.5838,37,0,125,True,False,{}
16-58-41.6052,39,0,126,True,False,{}
16-58-41.6282,40,0,127,True,False,{}
16-58-41.6625,40,0,128,True,False,{}
16-58-41.6838,37,0,129,True,False,{}
16-58-41.7081,39,0,130,True,False,{}
16-58-41.7246,39,0,131,True,False,{}
16-58-41.7494,42,0,132,True,False,{}
16-58-41.7651,42,0,133,True,False,{}
16-58-41.7895,44,0,134,True,False,{}
16-58-41.8076,44,0,135,True,False,{}
16-58-41.8490,45,0,136,True,False,{}
16-58-41.8727,39,0,137,True,False,{}
16-58-41.8962,38,0,138,True,False,{}
16-58-41.9174,40,0,139,True,False,{}
16-58-41.9347,41,0,140,True,False,{}
16-58-41.9805,44,0,141,True,False,{}
16-58-42.0062,36,0,142,True,False,{}
16-58-42.0297,36,0,143,True,False,{}
16-58-42.0677,37,0,144,True,False,{}
16-58-42.0944,35,0,145,True,False,{}
16-58-42.1210,35,0,146,True,False,{}
16-58-42.1386,36,0,147,True,False,{}
16-58-42.1629,38,0,148,True,False,{}
16-58-42.1814,39,0,149,True,False,{}
16-58-42.1991,41,0,150,True,False,{}
16-58-42.2234,44,0,151,True,False,{}
16-58-42.2678,43,0,152,True,False,{}
16-58-42.3008,34,1,153,True,False,{"FaceCube-1": {"3D Position": "(0.3088825 | 0.7929265 | 0.4140348)" |"isSubject": "False" |"2D Position": "(1171.93353271484 | 891.621551513672)" } |}
16-58-42.3309,35,1,154,True,False,{"FaceCube-1": {"3D Position": "(0.3088825 | 0.7929265 | 0.4140348)" |"isSubject": "False" |"2D Position": "(1171.93353271484 | 891.621551513672)" } |}
16-58-42.3567,34,1,155,True,False,{"FaceCube-1": {"3D Position": "(0.3088825 | 0.7929265 | 0.4140348)" |"isSubject": "False" |"2D Position": "(1171.93353271484 | 891.621551513672)" } |}
