TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-08-2--19-50-46,0,1,59,203,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"93.602"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.002"|"ms_total":"104.327"|"faces":[]}
2026-08-2--19-50-46,0,2,59,407,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"101.636"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"106.767"|"faces":[]}
2026-08-2--19-50-46,0,3,57,605,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"85.163"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"86.724"|"faces":[]}
2026-08-2--19-50-46,0,4,8,803,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"70.797"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"75.274"|"faces":[]}
2026-08-2--19-50-46,0,5,4,1001,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"76.871"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"80.484"|"faces":[]}
2026-08-2--19-50-46,0,6,5,1197,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"71.9"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"73.451"|"faces":[]}
2026-08-2--19-50-46,0,7,6,1395,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"66.879"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"69.126"|"faces":[]}
2026-08-2--19-50-46,0,8,6,1593,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"68.117"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"72.431"|"faces":[]}
2026-08-2--19-50-46,0,9,7,1791,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"70.894"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"74.787"|"faces":[]}
2026-08-2--19-50-46,0,10,7,1993,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"70.684"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"71.912"|"faces":[]}
2026-08-2--19-50-46,0,11,8,2191,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"67.658"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"68.892"|"faces":[]}
2026-08-2--19-50-46,0,12,9,2389,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"71.352"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"72.989"|"faces":[]}
2026-08-2--19-50-46,0,13,9,2587,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"69.898"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"74.282"|"faces":[]}
2026-08-2--19-50-46,0,14,9,2789,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"73.729"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"75.593"|"faces":[]}
2026-08-2--19-50-46,0,15,9,2987,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"87.411"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"92.276"|"faces":[]}
2026-08-2--19-50-46,0,16,9,3184,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"71.75"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"75.268"|"faces":[]}
2026-08-2--19-50-46,0,17,9,3382,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"66.374"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"70.519"|"faces":[]}
2026-08-2--19-50-46,0,18,9,3580,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"70.312"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"72.109"|"faces":[]}
2026-08-2--19-50-46,0,19,10,3778,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"66.016"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"67.239"|"faces":[]}
2026-08-2--19-50-46,0,20,10,3974,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"73.72"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"74.95"|"faces":[]}
2026-08-2--19-50-46,0,21,10,4172,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"70.211"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"71.711"|"faces":[]}
2026-08-2--19-50-46,0,22,10,4370,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"71.844"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"73.238"|"faces":[]}
2026-08-2--19-50-46,0,23,10,4568,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"73.153"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"74.431"|"faces":[]}
2026-08-2--19-50-46,0,24,10,4770,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"72.411"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"73.874"|"faces":[]}
2026-08-2--19-50-46,0,25,10,4968,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"76.665"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"78.016"|"faces":[]}
2026-08-2--19-50-46,0,26,10,5165,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"80.742"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"81.96"|"faces":[]}
2026-08-2--19-50-46,0,27,10,5362,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"77.556"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"78.79"|"faces":[]}
2026-08-2--19-50-46,0,28,10,5560,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"67.815"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"69.023"|"faces":[]}
2026-08-2--19-50-46,0,29,10,5758,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"66.354"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"67.632"|"faces":[]}
2026-08-2--19-50-46,0,30,10,5956,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"67.472"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"68.865"|"faces":[]}
2026-08-2--19-50-46,0,31,10,6154,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"73.366"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"74.592"|"faces":[]}
2026-08-2--19-50-46,0,32,10,6351,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"67.561"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"68.81"|"faces":[]}
2026-08-2--19-50-46,0,33,10,6549,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"66.986"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"68.275"|"faces":[]}
2026-08-2--19-50-46,0,34,10,6747,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"66.925"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"68.062"|"faces":[]}
2026-08-2--19-50-46,0,35,10,6945,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"70.125"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"71.335"|"faces":[]}
2026-08-2--19-50-46,0,36,10,7143,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"72.953"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"76.778"|"faces":[]}
2026-08-2--19-50-46,0,37,10,7341,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"75.209"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"76.559"|"faces":[]}
2026-08-2--19-50-46,0,38,10,7538,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"72.61"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"76.446"|"faces":[]}
2026-08-2--19-50-46,0,39,10,7736,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"70.899"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"74.994"|"faces":[]}
2026-08-2--19-50-46,0,40,10,7934,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"67.065"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"70.841"|"faces":[]}
2026-08-2--19-50-46,0,41,10,8132,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"73.802"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"75.085"|"faces":[]}
2026-08-2--19-50-46,0,42,10,8329,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"76.16"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"77.343"|"faces":[]}
2026-08-2--19-50-46,0,43,10,8527,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"67.108"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"68.283"|"faces":[]}
2026-08-2--19-50-46,0,44,10,8725,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"71.265"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"74.095"|"faces":[]}
2026-08-2--19-50-46,0,45,10,8923,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"75.912"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"78.155"|"faces":[]}
