TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-12-2--19-54-07,0,1,59,202,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"91.18"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"101.142"|"faces":[]}
2026-12-2--19-54-07,0,2,59,402,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"107.836"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"111.106"|"faces":[]}
2026-12-2--19-54-07,0,3,57,602,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"102.102"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"108.019"|"faces":[]}
2026-12-2--19-54-07,0,4,7,805,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"92.752"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"101.193"|"faces":[]}
2026-12-2--19-54-07,0,5,7,1006,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"83.55"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"88.045"|"faces":[]}
2026-12-2--19-54-07,0,6,7,1204,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"85.576"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"93.371"|"faces":[]}
2026-12-2--19-54-07,0,7,8,1402,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"94.552"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"98.782"|"faces":[]}
2026-12-2--19-54-07,0,8,7,1600,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"99.268"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"105.84"|"faces":[]}
2026-12-2--19-54-07,0,9,7,1799,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"94.258"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"100.919"|"faces":[]}
2026-12-2--19-54-07,0,10,7,1999,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"106.256"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"110.829"|"faces":[]}
2026-12-2--19-54-07,0,11,7,2199,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"85.133"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"91.7"|"faces":[]}
2026-12-2--19-54-07,0,12,7,2397,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"87.419"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"94.655"|"faces":[]}
2026-12-2--19-54-07,0,13,8,2601,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"100.107"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"105.256"|"faces":[]}
2026-12-2--19-54-07,0,14,7,2800,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"88.9"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"95.56"|"faces":[]}
2026-12-2--19-54-07,0,15,7,2998,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"90.661"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"93.723"|"faces":[]}
2026-12-2--19-54-07,0,16,7,3196,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"89.184"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"97.373"|"faces":[]}
2026-12-2--19-54-07,0,17,8,3394,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"94.668"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"98.243"|"faces":[]}
2026-12-2--19-54-07,0,18,8,3593,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"93.906"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"100.819"|"faces":[]}
2026-12-2--19-54-07,0,19,8,3793,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"108.527"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"115.784"|"faces":[]}
2026-12-2--19-54-07,0,20,7,3991,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"87.145"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"91.258"|"faces":[]}
2026-12-2--19-54-07,0,21,7,4190,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"92.002"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"100.238"|"faces":[]}
2026-12-2--19-54-07,0,22,7,4388,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"81.719"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"85.235"|"faces":[]}
