TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-08-2--19-34-08,0,1,60,204,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"115.032"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"121.396"|"faces":[]}
2026-08-2--19-34-08,0,2,60,404,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"128.713"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"131.581"|"faces":[]}
2026-08-2--19-34-08,0,3,57,604,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"125.105"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"126.628"|"faces":[]}
2026-08-2--19-34-08,0,4,5,804,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"115.007"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"116.222"|"faces":[]}
2026-08-2--19-34-08,0,5,3,1004,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"105.454"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"106.691"|"faces":[]}
2026-08-2--19-34-08,0,6,4,1203,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"97.842"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"101.852"|"faces":[]}
2026-08-2--19-34-08,0,7,5,1403,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"103.291"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"104.473"|"faces":[]}
2026-08-2--19-34-08,0,8,5,1601,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"89.525"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"90.745"|"faces":[]}
2026-08-2--19-34-08,0,9,5,1799,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"95.823"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"96.958"|"faces":[]}
2026-08-2--19-34-08,0,10,6,1996,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"91.801"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"95.62"|"faces":[]}
