TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-12-2--19-33-28,0,1,60,204,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"118.836"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"127.773"|"faces":[]}
2026-12-2--19-33-28,0,2,60,408,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"148.233"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"158.664"|"faces":[]}
2026-12-2--19-33-28,0,3,57,608,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"133.191"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"140.042"|"faces":[]}
2026-12-2--19-33-28,0,4,5,808,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"128.382"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"133.329"|"faces":[]}
2026-12-2--19-33-28,0,5,5,1012,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"128.894"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"132.316"|"faces":[]}
2026-12-2--19-33-28,0,6,5,1212,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"119.609"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"122.948"|"faces":[]}
2026-12-2--19-33-28,0,7,6,1412,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"118.953"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"125.627"|"faces":[]}
2026-12-2--19-33-28,0,8,6,1612,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"129.591"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"135.505"|"faces":[]}
2026-12-2--19-33-28,0,9,6,1812,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"126.217"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"133.457"|"faces":[]}
2026-12-2--19-33-28,0,10,6,2012,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"133.939"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"139.675"|"faces":[]}
