TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-12-2--13-34-20,0,1,71,192,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"0"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"0.001"|"faces":[]}
2026-12-2--13-34-20,0,2,71,384,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"0"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"0.001"|"faces":[]}
2026-12-2--13-34-20,0,3,65,588,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"181.868"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"196.639"|"faces":[]}
2026-12-2--13-34-20,0,4,3,787,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"97.209"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"102.144"|"faces":[]}
2026-12-2--13-34-20,0,5,3,987,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"129.404"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"135.128"|"faces":[]}
2026-12-2--13-34-20,0,6,3,1186,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"97.897"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"101.463"|"faces":[]}
2026-12-2--13-34-20,0,7,2,1386,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"105.002"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"110.459"|"faces":[]}
2026-12-2--13-34-20,0,8,2,1586,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"107.812"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"112.182"|"faces":[]}
2026-12-2--13-34-20,0,9,2,1784,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"96.798"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"102.69"|"faces":[]}
2026-12-2--13-34-20,0,10,2,1984,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"111.158"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"114.676"|"faces":[]}
