TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-12-2--13-36-47,0,1,71,192,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"0"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"0.001"|"faces":[]}
2026-12-2--13-36-47,0,2,71,384,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"0"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"0.001"|"faces":[]}
2026-12-2--13-36-47,0,3,66,587,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"135.147"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"166.89"|"faces":[]}
2026-12-2--13-36-47,0,4,3,787,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"117.561"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"122.394"|"faces":[]}
2026-12-2--13-36-47,0,5,3,985,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"89.856"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"95.309"|"faces":[]}
2026-12-2--13-36-47,0,6,3,1184,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"96.874"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"100.457"|"faces":[]}
2026-12-2--13-36-47,0,7,3,1382,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"90.419"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"95.729"|"faces":[]}
2026-12-2--13-36-47,0,8,3,1582,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"110.769"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"114.713"|"faces":[]}
2026-12-2--13-36-47,0,9,3,1778,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"88.4"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"94.315"|"faces":[]}
2026-12-2--13-36-47,0,10,3,1976,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"93.861"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"97.561"|"faces":[]}
2026-12-2--13-36-47,0,11,3,2384,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"113.587"|"ms_palm":"53.82"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"173.023"|"faces":[{"id":"1"|"bbox":"(941.287|312.782|98.351|141.075)"|"c":"(990.463|383.32)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,12,3,2793,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"113.103"|"ms_palm":"30.534"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"147.594"|"faces":[{"id":"1"|"bbox":"(935.15|284.363|95.639|134.516)"|"c":"(982.969|351.621)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,13,3,3205,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"93.74"|"ms_palm":"32.783"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"130.999"|"faces":[{"id":"1"|"bbox":"(920.739|278.218|96.655|130.397)"|"c":"(969.067|343.416)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,14,3,3613,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"98.163"|"ms_palm":"29.377"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"132.615"|"faces":[{"id":"1"|"bbox":"(907.171|272.36|96.223|135.811)"|"c":"(955.283|340.265)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,15,4,4022,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"112.071"|"ms_palm":"32.084"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"149.774"|"faces":[{"id":"1"|"bbox":"(894.017|269.75|98.028|133.735)"|"c":"(943.031|336.617)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,16,4,4431,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"96.707"|"ms_palm":"28.152"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"136.114"|"faces":[{"id":"1"|"bbox":"(896.372|268.881|97.643|130.196)"|"c":"(945.193|333.979)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,17,4,4840,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"109.272"|"ms_palm":"29.169"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"142.94"|"faces":[{"id":"1"|"bbox":"(897.633|264.661|99.432|137.436)"|"c":"(947.349|333.379)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,18,4,5249,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"95.568"|"ms_palm":"29.822"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"130.023"|"faces":[{"id":"1"|"bbox":"(894.934|265.112|97.999|135.064)"|"c":"(943.933|332.644)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,19,5,5658,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"101.13"|"ms_palm":"27.891"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"133.284"|"faces":[{"id":"1"|"bbox":"(890.898|271.508|97.688|135.238)"|"c":"(939.742|339.127)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,20,5,6066,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"89.044"|"ms_palm":"35.297"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"129.723"|"faces":[{"id":"1"|"bbox":"(881.308|309.84|94.328|129.016)"|"c":"(928.472|374.348)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,21,5,6475,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"113.021"|"ms_palm":"27.243"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"145.278"|"faces":[{"id":"1"|"bbox":"(873.975|338.827|93.862|134.685)"|"c":"(920.906|406.17)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,22,5,6883,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"93.662"|"ms_palm":"27.52"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"125.615"|"faces":[{"id":"1"|"bbox":"(879.172|360.406|92.348|127.384)"|"c":"(925.346|424.098)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,23,5,7291,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"102.573"|"ms_palm":"28.175"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"135.38"|"faces":[{"id":"1"|"bbox":"(874.716|386.055|92.356|125.07)"|"c":"(920.894|448.589)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,24,5,7700,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"101.047"|"ms_palm":"27.848"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"134.133"|"faces":[{"id":"1"|"bbox":"(875.597|388.042|91.83|127.084)"|"c":"(921.512|451.584)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,25,5,8109,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"94.836"|"ms_palm":"28.545"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"128.737"|"faces":[{"id":"1"|"bbox":"(874.905|393.361|92.052|128.705)"|"c":"(920.931|457.714)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,26,5,8517,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"97.277"|"ms_palm":"27.874"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"129.42"|"faces":[{"id":"1"|"bbox":"(873.236|426.497|93.081|129.494)"|"c":"(919.776|491.243)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,27,5,8925,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"93.958"|"ms_palm":"28.163"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"126.86"|"faces":[{"id":"1"|"bbox":"(870.591|447.009|91.906|126.183)"|"c":"(916.544|510.101)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,28,5,9338,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"111.07"|"ms_palm":"29.046"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"145.475"|"faces":[{"id":"1"|"bbox":"(866.044|468.702|90.964|121.152)"|"c":"(911.526|529.278)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,29,5,9750,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"91.34"|"ms_palm":"27.446"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"124.933"|"faces":[{"id":"1"|"bbox":"(863.915|470.862|90.814|126.301)"|"c":"(909.322|534.013)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,30,5,10159,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"109.085"|"ms_palm":"28.076"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"141.241"|"faces":[{"id":"1"|"bbox":"(865.004|467.904|93.171|125.083)"|"c":"(911.59|530.445)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,31,5,10568,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"87.595"|"ms_palm":"34.458"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"127.115"|"faces":[{"id":"1"|"bbox":"(866.786|473.802|90.054|126.089)"|"c":"(911.813|536.846)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,32,5,10981,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"110.267"|"ms_palm":"28.096"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"142.93"|"faces":[{"id":"1"|"bbox":"(872.759|475.118|91.371|125.275)"|"c":"(918.445|537.756)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,33,5,11390,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"96.294"|"ms_palm":"28.449"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"129.023"|"faces":[{"id":"1"|"bbox":"(869.882|468.935|92.221|125.767)"|"c":"(915.992|531.819)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,34,5,11798,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"112.94"|"ms_palm":"29.232"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"146.452"|"faces":[{"id":"1"|"bbox":"(871.197|469.199|92.746|128.323)"|"c":"(917.57|533.361)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-36-47,0,35,5,12207,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"93.254"|"ms_palm":"28.516"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"127.398"|"faces":[{"id":"1"|"bbox":"(874.057|469.387|90.743|127.043)"|"c":"(919.429|532.909)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
