TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-12-2--13-46-53,0,1,71,192,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"0"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"0.001"|"faces":[]}
2026-12-2--13-46-53,0,2,71,384,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"0"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"0.001"|"faces":[]}
2026-12-2--13-46-53,0,3,66,584,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"171.502"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"187.165"|"faces":[]}
2026-12-2--13-46-53,0,4,3,784,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"130.182"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"133.842"|"faces":[]}
2026-12-2--13-46-53,0,5,3,1398,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"118.671"|"ms_palm":"72.988"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"196.957"|"faces":[{"id":"1"|"bbox":"(870.745|382.698|69.506|85.259)"|"c":"(905.498|425.327)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(755.773|423.647|55.707|70.699)"|"c":"(783.627|458.996)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-46-53,0,6,3,2016,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"108.256"|"ms_palm":"40.744"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"154.644"|"faces":[{"id":"1"|"bbox":"(871.433|384.704|68.332|82.405)"|"c":"(905.599|425.907)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(756.842|424.729|53.842|68.332)"|"c":"(783.763|458.895)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-46-53,0,7,4,2628,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"118.026"|"ms_palm":"43.31"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"166.846"|"faces":[{"id":"1"|"bbox":"(873.612|383.887|68.332|82.405)"|"c":"(907.778|425.09)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(756.863|418.989|55.707|71.913)"|"c":"(784.716|454.946)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-46-53,0,8,4,3238,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"109.674"|"ms_palm":"52.587"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"166.767"|"faces":[{"id":"1"|"bbox":"(873.748|384.991|68.332|81.014)"|"c":"(907.914|425.498)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(758.224|418.798|55.707|74.403)"|"c":"(786.078|456)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-46-53,0,9,4,3850,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"118.841"|"ms_palm":"42.853"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"166.513"|"faces":[{"id":"1"|"bbox":"(874.021|383.887|68.332|82.405)"|"c":"(908.187|425.09)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(758.088|420.38|55.707|73.147)"|"c":"(785.942|456.953)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-46-53,0,10,4,4462,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"125.157"|"ms_palm":"41.982"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"171.989"|"faces":[{"id":"1"|"bbox":"(875.551|384.31|67.179|81.014)"|"c":"(909.14|424.817)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(759.103|419.262|54.767|71.913)"|"c":"(786.487|455.218)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
