TimeStamp, FPS, # Faces, frame #, QRDetection Status, Hardcoded Eye Gaze, DetectedFaces Info
00-28-04.2989,59,0,1,True,False,{}
00-28-04.2989,59,0,1,True,False,{}
00-28-04.9899,59,0,25,True,False,{}
00-28-04.9899,59,0,25,True,False,{}
00-28-05.0374,57,0,26,False,False,{}
00-28-05.0374,57,0,26,False,False,{}
00-28-05.0794,20,0,27,False,False,{}
00-28-05.0794,20,0,27,False,False,{}
00-28-05.1448,20,0,29,False,False,{}
00-28-05.1448,20,0,29,False,False,{}
00-28-05.1933,20,0,31,False,False,{}
00-28-05.1933,20,0,31,False,False,{}
00-28-05.2410,20,0,32,False,False,{}
00-28-05.2410,20,0,32,False,False,{}
00-28-05.2750,20,0,33,False,False,{}
00-28-05.2750,20,0,33,False,False,{}
00-28-05.3227,22,0,35,False,False,{}
00-28-05.3227,22,0,35,False,False,{}
00-28-05.3757,21,0,36,False,False,{}
00-28-05.3757,21,0,36,False,False,{}
00-28-05.4088,21,0,37,False,False,{}
00-28-05.4088,21,0,37,False,False,{}
00-28-05.4553,23,0,39,False,False,{}
00-28-05.4553,23,0,39,False,False,{}
00-28-05.5082,21,0,40,False,False,{}
00-28-05.5082,21,0,40,False,False,{}
00-28-05.5458,21,0,41,False,False,{}
00-28-05.5458,21,0,41,False,False,{}
00-28-05.5932,23,0,43,False,False,{}
00-28-05.5932,23,0,43,False,False,{}
00-28-05.6403,22,0,44,False,False,{}
00-28-05.6403,22,0,44,False,False,{}
00-28-05.6758,21,0,45,False,False,{}
00-28-05.6758,21,0,45,False,False,{}
00-28-05.7242,23,0,47,False,False,{}
00-28-05.7242,23,0,47,False,False,{}
00-28-05.7363,23,0,47,False,False,{}
00-28-05.7363,23,0,47,False,False,{}
00-28-05.7730,26,0,48,False,False,{}
00-28-05.7730,26,0,48,False,False,{}
00-28-05.7776,28,0,48,False,False,{}
00-28-05.7776,28,0,48,False,False,{}
00-28-05.7892,33,0,49,False,False,{}
00-28-05.7892,33,0,49,False,False,{}
00-28-05.8031,36,0,49,False,False,{}
00-28-05.8031,36,0,49,False,False,{}
00-28-05.8393,39,0,50,False,False,{}
00-28-05.8393,39,0,50,False,False,{}
00-28-05.8439,40,0,50,False,False,{}
00-28-05.8439,40,0,50,False,False,{}
00-28-05.8560,46,0,51,False,False,{}
00-28-05.8560,46,0,51,False,False,{}
00-28-05.8696,48,0,51,False,False,{}
00-28-05.8696,48,0,51,False,False,{}
00-28-05.9043,50,0,52,False,False,{}
00-28-05.9043,50,0,52,False,False,{}
00-28-05.9087,49,0,52,False,False,{}
00-28-05.9087,49,0,52,False,False,{}
00-28-05.9230,54,0,53,False,False,{}
00-28-05.9230,54,0,53,False,False,{}
00-28-05.9376,54,0,53,False,False,{}
00-28-05.9376,54,0,53,False,False,{}
00-28-05.9718,55,0,54,False,False,{}
00-28-05.9718,55,0,54,False,False,{}
00-28-05.9761,53,0,54,False,False,{}
00-28-05.9761,53,0,54,False,False,{}
00-28-05.9899,58,0,55,False,False,{}
00-28-05.9899,58,0,55,False,False,{}
00-28-06.0036,58,0,55,False,False,{}
00-28-06.0036,58,0,55,False,False,{}
00-28-06.0384,59,0,56,False,False,{}
00-28-06.0384,59,0,56,False,False,{}
00-28-06.0430,55,0,56,False,False,{}
00-28-06.0430,55,0,56,False,False,{}
00-28-06.0564,60,0,57,False,False,{}
00-28-06.0564,60,0,57,False,False,{}
00-28-06.0698,60,0,57,False,False,{}
00-28-06.0698,60,0,57,False,False,{}
00-28-06.1039,60,0,58,False,False,{}
00-28-06.1039,60,0,58,False,False,{}
00-28-06.1080,56,0,58,False,False,{}
00-28-06.1080,56,0,58,False,False,{}
00-28-06.1229,60,0,59,False,False,{}
00-28-06.1229,60,0,59,False,False,{}
00-28-06.1377,60,0,59,False,False,{}
00-28-06.1377,60,0,59,False,False,{}
00-28-06.1724,60,0,60,False,False,{}
00-28-06.1724,60,0,60,False,False,{}
00-28-06.1770,55,0,60,False,False,{}
00-28-06.1770,55,0,60,False,False,{}
00-28-06.1907,60,0,61,False,False,{}
00-28-06.1907,60,0,61,False,False,{}
00-28-06.2053,60,0,61,False,False,{}
00-28-06.2053,60,0,61,False,False,{}
00-28-06.2396,60,0,62,False,False,{}
00-28-06.2396,60,0,62,False,False,{}
00-28-06.2442,56,0,62,False,False,{}
00-28-06.2442,56,0,62,False,False,{}
00-28-06.2565,61,0,63,False,False,{}
00-28-06.2565,61,0,63,False,False,{}
00-28-06.2705,61,0,63,False,False,{}
00-28-06.2705,61,0,63,False,False,{}
00-28-06.3056,61,0,64,False,False,{}
00-28-06.3056,61,0,64,False,False,{}
00-28-06.3099,56,0,64,False,False,{}
00-28-06.3099,56,0,64,False,False,{}
00-28-06.3234,61,0,65,False,False,{}
00-28-06.3234,61,0,65,False,False,{}
00-28-06.3382,60,0,65,False,False,{}
00-28-06.3382,60,0,65,False,False,{}
00-28-06.3737,60,0,66,False,False,{}
00-28-06.3737,60,0,66,False,False,{}
00-28-06.3783,55,0,66,False,False,{}
00-28-06.3783,55,0,66,False,False,{}
00-28-06.3900,62,0,67,False,False,{}
00-28-06.3900,62,0,67,False,False,{}
00-28-06.4039,61,0,67,False,False,{}
00-28-06.4039,61,0,67,False,False,{}
00-28-06.4403,61,0,68,False,False,{}
00-28-06.4403,61,0,68,False,False,{}
00-28-06.4447,55,0,68,False,False,{}
00-28-06.4447,55,0,68,False,False,{}
00-28-06.4566,61,0,69,False,False,{}
00-28-06.4566,61,0,69,False,False,{}
00-28-06.4716,61,0,69,False,False,{}
00-28-06.4716,61,0,69,False,False,{}
00-28-06.5070,60,0,70,False,False,{}
00-28-06.5070,60,0,70,False,False,{}
00-28-06.5114,55,0,70,False,False,{}
00-28-06.5114,55,0,70,False,False,{}
00-28-06.5232,61,0,71,False,False,{}
00-28-06.5232,61,0,71,False,False,{}
00-28-06.5389,60,0,71,False,False,{}
00-28-06.5389,60,0,71,False,False,{}
00-28-06.5747,60,0,72,False,False,{}
00-28-06.5747,60,0,72,False,False,{}
00-28-06.5794,55,0,72,False,False,{}
00-28-06.5794,55,0,72,False,False,{}
00-28-06.5911,61,0,73,False,False,{}
00-28-06.5911,61,0,73,False,False,{}
00-28-06.6051,61,0,73,False,False,{}
00-28-06.6051,61,0,73,False,False,{}
00-28-06.6404,61,0,74,False,False,{}
00-28-06.6404,61,0,74,False,False,{}
00-28-06.6452,56,0,74,False,False,{}
00-28-06.6452,56,0,74,False,False,{}
00-28-06.6571,61,0,75,False,False,{}
00-28-06.6571,61,0,75,False,False,{}
00-28-06.6716,61,0,75,False,False,{}
00-28-06.6716,61,0,75,False,False,{}
00-28-06.7060,61,0,76,False,False,{}
00-28-06.7060,61,0,76,False,False,{}
00-28-06.7103,57,0,76,False,False,{}
00-28-06.7103,57,0,76,False,False,{}
00-28-06.7247,60,0,77,False,False,{}
00-28-06.7247,60,0,77,False,False,{}
00-28-06.7384,61,0,77,False,False,{}
00-28-06.7384,61,0,77,False,False,{}
00-28-06.7733,60,0,78,False,False,{}
00-28-06.7733,60,0,78,False,False,{}
00-28-06.7778,56,0,78,False,False,{}
00-28-06.7778,56,0,78,False,False,{}
00-28-06.7912,61,0,79,False,False,{}
00-28-06.7912,61,0,79,False,False,{}
00-28-06.8054,61,0,79,False,False,{}
00-28-06.8054,61,0,79,False,False,{}
00-28-06.8429,60,0,80,False,False,{}
00-28-06.8429,60,0,80,False,False,{}
00-28-06.8512,54,0,81,False,False,{}
00-28-06.8512,54,0,81,False,False,{}
00-28-06.8560,60,0,81,False,False,{}
00-28-06.8560,60,0,81,False,False,{}
00-28-06.8718,61,0,81,False,False,{}
00-28-06.8718,61,0,81,False,False,{}
00-28-06.9066,61,0,82,False,False,{}
00-28-06.9066,61,0,82,False,False,{}
00-28-06.9107,57,0,82,False,False,{}
00-28-06.9107,57,0,82,False,False,{}
00-28-06.9241,61,0,83,False,False,{}
00-28-06.9241,61,0,83,False,False,{}
00-28-06.9392,60,0,83,False,False,{}
00-28-06.9392,60,0,83,False,False,{}
00-28-06.9745,60,0,84,False,False,{}
00-28-06.9745,60,0,84,False,False,{}
00-28-06.9793,55,0,84,False,False,{}
00-28-06.9793,55,0,84,False,False,{}
00-28-06.9915,61,0,85,False,False,{}
00-28-06.9915,61,0,85,False,False,{}
00-28-07.0059,60,0,85,False,False,{}
00-28-07.0059,60,0,85,False,False,{}
00-28-07.0410,60,0,86,False,False,{}
00-28-07.0410,60,0,86,False,False,{}
00-28-07.0461,56,0,86,False,False,{}
00-28-07.0461,56,0,86,False,False,{}
00-28-07.0573,62,0,87,False,False,{}
00-28-07.0573,62,0,87,False,False,{}
00-28-07.0718,61,0,87,False,False,{}
00-28-07.0718,61,0,87,False,False,{}
00-28-07.1099,60,0,88,False,False,{}
00-28-07.1099,60,0,88,False,False,{}
00-28-07.1174,54,0,89,False,False,{}
00-28-07.1174,54,0,89,False,False,{}
00-28-07.1217,62,0,89,False,False,{}
00-28-07.1217,62,0,89,False,False,{}
00-28-07.1399,61,0,89,False,False,{}
00-28-07.1399,61,0,89,False,False,{}
00-28-07.1753,61,0,90,False,False,{}
00-28-07.1753,61,0,90,False,False,{}
00-28-07.1823,55,0,91,False,False,{}
00-28-07.1823,55,0,91,False,False,{}
00-28-07.1884,62,0,91,False,False,{}
00-28-07.1884,62,0,91,False,False,{}
00-28-07.2061,61,0,91,False,False,{}
00-28-07.2061,61,0,91,False,False,{}
00-28-07.2407,61,0,92,False,False,{}
00-28-07.2407,61,0,92,False,False,{}
00-28-07.2456,56,0,92,False,False,{}
00-28-07.2456,56,0,92,False,False,{}
00-28-07.2577,62,0,93,False,False,{}
00-28-07.2577,62,0,93,False,False,{}
00-28-07.2723,61,0,93,False,False,{}
00-28-07.2723,61,0,93,False,False,{}
00-28-07.3086,60,0,94,False,False,{}
00-28-07.3086,60,0,94,False,False,{}
00-28-07.3166,55,0,95,False,False,{}
00-28-07.3166,55,0,95,False,False,{}
00-28-07.3217,62,0,95,False,False,{}
00-28-07.3217,62,0,95,False,False,{}
00-28-07.3400,61,0,95,False,False,{}
00-28-07.3400,61,0,95,False,False,{}
